name,industries,location,description,cb
Aisles,"Artificial Intelligence (AI), Retail Technology,","Portland, Oregon, United States",Aisles is a retail technology company seeking to transform the retail shopping experience through AI-powered technology.,1
Citi,"Banking, Credit Cards, Financial Services,","New York, New York, United States",Citigroup is a financial services holding company that provides various financial products and services.,2
UBS,"Asset Management, Banking,,,,,","ZÃ¼rich, Zurich, Switzerland","UBS is a global financial services company that engages in wealth management, investment banking, asset management, and retail banking.",3
NVIDIA,"Artificial Intelligence (AI), GPU,,,","Santa Clara, California, United States","NVIDIA is a computing platform company operating at the intersection of graphics, HPC, and AI.",4
HSBC,"Banking, Finance, Financial Services","London, England, United Kingdom",HSBC is a banking and financial services organization that offers a comprehensive range of services.,5
Accenture,"Business Information Systems,,,,,,,","Dublin, Dublin, Ireland","Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.",6
OpenAI,"Artificial Intelligence (AI), Generative AI,,,","San Francisco, California, United States",OpenAI is an AI research and deployment company that conducts research and implements machine learning.,7
Mistral AI,"Artificial Intelligence (AI), Generative AI,,,","Paris, Ile-de-France, France",Mistral AI is an AI startup that provides developers and businesses access to open and portable generative AI solutions.,8
Humana,"Health Care, Health Insurance,,","Louisville, Kentucky, United States","Humana is a health insurance provider for individuals, families, and businesses.",9
SoftBank,"Banking, E-Commerce, Internet,,","Minato, Chiba, Japan","SoftBank provides fixed-line, mobile telephony, internet, telecommunications, and digital television products.",10
Amazon,"Crowdsourcing, Delivery, E-Commerce,","Seattle, Washington, United States","Amazon is a global tech firm with a focus on e-commerce, cloud computing, digital streaming, and artificial intelligence.",11
Sanofi,"Health Care, Life Science, Pharmaceutical,","Paris, Ile-de-France, France",Sanofi is a healthcare company that provides treatments and the protection of life-saving vaccines.,12
Fidelity,"Asset Management, Finance, Financial Services,,","Boston, Massachusetts, United States",Fidelity is a privately-owned investment manager focusing on a diverse set of customers.,13
Gro Intelligence,"Agriculture, Artificial Intelligence (AI),,,,","New York, New York, United States","The AI-powered decision engine across agriculture, climate, and the economy",14
SAP,"Analytics, Business Intelligence,,,,,","Walldorf, Baden-Wurttemberg,","SAP provides enterprise application software to various industries, including consumer, discrete manufacturing, public services.",15
